symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AMZN,2024-12-05 09:50:00+00:00,217.77,217.77,217.77,217.77,630.0,34.0,217.77
AMZN,2024-12-05 09:51:00+00:00,217.82,217.82,217.82,217.82,533.0,18.0,217.82
AMZN,2024-12-05 09:54:00+00:00,217.83,217.83,217.83,217.83,661.0,11.0,217.83
AMZN,2024-12-05 10:01:00+00:00,217.85,217.85,217.85,217.85,121.0,7.0,217.85
AMZN,2024-12-05 10:03:00+00:00,217.7,217.71,217.7,217.71,462.0,13.0,217.704237
AMZN,2024-12-05 10:09:00+00:00,217.79,217.79,217.79,217.79,505.0,9.0,217.79
AMZN,2024-12-05 10:11:00+00:00,217.85,217.85,217.85,217.85,1113.0,18.0,217.85
AMZN,2024-12-05 10:17:00+00:00,217.97,218.0,217.97,218.0,657.0,18.0,217.991549
AMZN,2024-12-05 10:18:00+00:00,218.07,218.07,218.07,218.07,506.0,21.0,218.07
AMZN,2024-12-05 10:20:00+00:00,218.09,218.09,218.09,218.09,397.0,11.0,218.09
AMZN,2024-12-05 10:21:00+00:00,218.05,218.05,218.02,218.02,563.0,21.0,218.039209
AMZN,2024-12-05 10:29:00+00:00,218.0,218.0,218.0,218.0,480.0,16.0,218.0
AMZN,2024-12-05 10:30:00+00:00,218.03,218.03,218.03,218.03,782.0,12.0,218.03
AMZN,2024-12-05 10:44:00+00:00,217.95,217.95,217.95,217.95,317.0,13.0,217.95
AMZN,2024-12-05 10:45:00+00:00,218.03,218.09,217.98,217.98,1260.0,23.0,218.03478
AMZN,2024-12-05 10:47:00+00:00,218.0,218.0,218.0,218.0,362.0,10.0,218.0
AMZN,2024-12-05 10:52:00+00:00,218.01,218.01,218.01,218.01,176.0,5.0,218.01
AMZN,2024-12-05 10:53:00+00:00,218.09,218.09,218.04,218.04,530.0,9.0,218.059467
AMZN,2024-12-05 11:03:00+00:00,218.01,218.01,218.01,218.01,305.0,10.0,218.01
AMZN,2024-12-05 11:06:00+00:00,218.01,218.01,218.0,218.0,600.0,13.0,218.005155
AMZN,2024-12-05 11:14:00+00:00,218.08,218.1,218.06,218.1,1275.0,25.0,218.082689
AMZN,2024-12-05 11:15:00+00:00,218.11,218.11,218.11,218.11,350.0,13.0,218.11
AMZN,2024-12-05 11:16:00+00:00,218.09,218.09,218.09,218.09,123.0,3.0,218.09
AMZN,2024-12-05 11:17:00+00:00,218.09,218.09,217.91,217.91,2483.0,90.0,218.029774
AMZN,2024-12-05 11:18:00+00:00,217.91,217.92,217.75,217.75,3928.0,111.0,217.846136
AMZN,2024-12-05 11:19:00+00:00,217.71,217.71,217.71,217.71,635.0,27.0,217.71
AMZN,2024-12-05 11:22:00+00:00,217.81,217.81,217.8,217.8,1077.0,23.0,217.804387
AMZN,2024-12-05 11:28:00+00:00,217.89,217.96,217.89,217.96,607.0,12.0,217.936807
AMZN,2024-12-05 11:30:00+00:00,217.91,217.91,217.85,217.85,377.0,17.0,217.877778
AMZN,2024-12-05 11:36:00+00:00,217.99,218.0,217.99,218.0,1175.0,21.0,217.99858
AMZN,2024-12-05 11:38:00+00:00,218.1,218.1,218.1,218.1,528.0,20.0,218.1
AMZN,2024-12-05 11:40:00+00:00,218.13,218.15,218.13,218.15,660.0,9.0,218.144286
AMZN,2024-12-05 11:47:00+00:00,218.09,218.09,218.09,218.09,303.0,8.0,218.09
AMZN,2024-12-05 11:52:00+00:00,218.08,218.08,218.07,218.07,1809.0,52.0,218.078929
AMZN,2024-12-05 11:53:00+00:00,218.1,218.1,218.1,218.1,432.0,10.0,218.1
AMZN,2024-12-05 11:55:00+00:00,218.16,218.16,218.16,218.16,281.0,7.0,218.16
AMZN,2024-12-05 11:56:00+00:00,218.15,218.15,218.15,218.15,667.0,20.0,218.15
AMZN,2024-12-05 12:00:00+00:00,218.22,218.22,218.22,218.22,1168.0,55.0,218.22
AMZN,2024-12-05 12:01:00+00:00,218.24,218.24,218.17,218.23,1894.0,14.0,218.204252
AMZN,2024-12-05 12:02:00+00:00,218.23,218.23,218.17,218.17,924.0,59.0,218.206
AMZN,2024-12-05 12:03:00+00:00,218.17,218.17,218.17,218.17,828.0,20.0,218.17
AMZN,2024-12-05 12:07:00+00:00,218.17,218.17,218.13,218.13,231.0,6.0,218.15
AMZN,2024-12-05 12:08:00+00:00,218.11,218.11,218.05,218.05,1258.0,31.0,218.082632
AMZN,2024-12-05 12:13:00+00:00,218.09,218.2,218.09,218.2,1899.0,22.0,218.153445
AMZN,2024-12-05 12:14:00+00:00,218.11,218.11,218.11,218.11,288.0,9.0,218.11
AMZN,2024-12-05 12:15:00+00:00,218.18,218.25,218.16,218.16,1703.0,25.0,218.190612
AMZN,2024-12-05 12:17:00+00:00,218.18,218.18,218.15,218.15,643.0,13.0,218.168428
AMZN,2024-12-05 12:19:00+00:00,218.1,218.1,218.1,218.1,695.0,22.0,218.1
AMZN,2024-12-05 12:25:00+00:00,218.2,218.2,218.2,218.2,609.0,18.0,218.2
AMZN,2024-12-05 12:28:00+00:00,218.18,218.18,218.13,218.13,1574.0,43.0,218.157092
AMZN,2024-12-05 12:29:00+00:00,218.19,218.24,218.15,218.15,1531.0,23.0,218.1824
AMZN,2024-12-05 12:30:00+00:00,218.2,218.24,218.2,218.24,1466.0,41.0,218.214667
AMZN,2024-12-05 12:31:00+00:00,218.34,218.47,218.34,218.45,9649.0,97.0,218.4517
AMZN,2024-12-05 12:34:00+00:00,218.35,218.35,218.35,218.35,710.0,10.0,218.35
AMZN,2024-12-05 12:35:00+00:00,218.4,218.4,218.4,218.4,609.0,19.0,218.4
AMZN,2024-12-05 12:36:00+00:00,218.39,218.45,218.39,218.45,1094.0,37.0,218.431538
AMZN,2024-12-05 12:39:00+00:00,218.48,218.5,218.48,218.5,3107.0,48.0,218.481918
AMZN,2024-12-05 12:40:00+00:00,218.45,218.45,218.45,218.45,993.0,37.0,218.45
AMZN,2024-12-05 12:42:00+00:00,218.48,218.5,218.48,218.5,1226.0,24.0,218.486557
AMZN,2024-12-05 12:45:00+00:00,218.5,218.53,218.5,218.53,1459.0,41.0,218.508876
AMZN,2024-12-05 12:46:00+00:00,218.55,218.6,218.54,218.6,1843.0,36.0,218.574656
AMZN,2024-12-05 12:48:00+00:00,218.61,218.63,218.55,218.55,3013.0,57.0,218.605893
AMZN,2024-12-05 12:50:00+00:00,218.6,218.6,218.6,218.6,1858.0,12.0,218.6
AMZN,2024-12-05 12:52:00+00:00,218.6,218.6,218.51,218.51,1474.0,26.0,218.528216
AMZN,2024-12-05 12:53:00+00:00,218.55,218.55,218.55,218.55,314.0,12.0,218.55
AMZN,2024-12-05 12:54:00+00:00,218.56,218.6,218.56,218.6,568.0,32.0,218.577241
AMZN,2024-12-05 12:55:00+00:00,218.6,218.6,218.6,218.6,428.0,21.0,218.6
AMZN,2024-12-05 12:56:00+00:00,218.63,218.65,218.63,218.65,975.0,17.0,218.645556
AMZN,2024-12-05 12:57:00+00:00,218.69,218.69,218.69,218.69,1435.0,30.0,218.69
AMZN,2024-12-05 12:58:00+00:00,218.74,218.99,218.7,218.99,6590.0,111.0,218.8857
AMZN,2024-12-05 12:59:00+00:00,218.93,218.93,218.93,218.93,887.0,32.0,218.93
AMZN,2024-12-05 13:00:00+00:00,218.24,218.97,217.93,218.8681,100953.0,1482.0,218.273392
AMZN,2024-12-05 13:01:00+00:00,218.8,218.8199,218.66,218.66,3824.0,555.0,218.757996
AMZN,2024-12-05 13:02:00+00:00,218.76,218.76,218.76,218.76,522.0,36.0,218.76
AMZN,2024-12-05 13:03:00+00:00,218.76,218.77,218.71,218.75,2304.0,49.0,218.73609
AMZN,2024-12-05 13:04:00+00:00,218.71,218.79,218.71,218.79,3592.0,69.0,218.776578
AMZN,2024-12-05 13:05:00+00:00,218.659,218.7999,218.659,218.7999,1979.0,38.0,218.726145
AMZN,2024-12-05 13:06:00+00:00,218.8,218.8,218.8,218.8,536.0,42.0,218.8
AMZN,2024-12-05 13:08:00+00:00,218.75,218.75,218.73,218.73,3977.0,57.0,218.741052
AMZN,2024-12-05 13:09:00+00:00,218.73,218.73,218.6591,218.66,3734.0,100.0,218.67844
AMZN,2024-12-05 13:10:00+00:00,218.7,218.7,218.7,218.7,398.0,29.0,218.7
AMZN,2024-12-05 13:11:00+00:00,218.664,218.8144,218.664,218.7,1787.0,45.0,218.701791
